cas operacie,index prvku,dlzka zoznamu,,,
1.87E-05,33,33,,,
1.89E-05,31,31,,,
1.86E-05,32,32,,,
1.96E-05,33,33,,,
1.87E-05,31,31,,,
1.88E-05,32,32,,,
1.87E-05,31,31,,,
1.86E-05,32,32,,,
1.90E-05,35,35,,,
1.90E-05,41,41,,,
2.00E-05,42,42,,,
2.00E-05,41,41,,,
2.06E-05,40,40,,,
2.00E-05,38,38,,,
1.89E-05,36,36,,,
2.08E-05,36,36,,,
2.02E-05,35,35,,,
1.87E-05,33,33,,,
1.93E-05,31,31,,,
1.93E-05,30,30,,,
1.87E-05,29,29,,,
1.89E-05,30,30,,,
1.86E-05,29,29,,,
1.88E-05,28,28,,,
2.08E-05,26,26,,,
2.53E-05,28,28,,,
1.90E-05,35,35,,,
1.90E-05,34,34,,,
2.47E-05,34,34,,,
3.50E-05,38,38,,,
1.99E-05,35,35,,,
2.03E-05,38,38,,,
2.02E-05,38,38,,,
2.81E-05,38,38,,,
1.97E-05,28,28,,,
3.99E-05,30,30,,,
2.02E-05,30,30,,,
3.54E-05,30,30,,,
3.29E-05,33,33,,,
2.00E-05,32,32,,,
1.96E-05,29,29,,,
1.96E-05,27,27,,,
1.99E-05,25,25,,,
2.37E-05,25,25,,,
2.85E-05,24,24,,,
3.41E-05,23,23,,,
2.05E-05,25,25,,,
2.13E-05,23,23,,,
2.52E-05,21,21,,,
1.82E-05,21,21,,,
2.00E-05,20,20,,,
1.87E-05,20,20,,,
1.82E-05,23,23,,,
5.46E-05,25,25,,,
2.77E-05,25,25,,,
2.01E-05,23,23,,,
2.69E-05,21,21,,,
1.93E-05,20,20,,,
2.04E-05,18,18,,,
2.84E-05,15,15,,,
2.39E-05,15,15,,,
1.96E-05,19,19,,,
1.92E-05,21,21,,,
1.95E-05,20,20,,,
1.83E-05,17,17,,,
1.83E-05,21,21,,,
1.83E-05,20,20,,,
1.85E-05,20,20,,,
1.83E-05,21,21,,,
1.82E-05,21,21,,,
1.96E-05,20,20,,,
1.89E-05,20,20,,,
1.87E-05,19,19,,,
1.88E-05,21,21,,,
1.85E-05,20,20,,,
1.83E-05,19,19,,,
1.84E-05,19,19,,,
1.99E-05,18,18,,,
2.42E-05,17,17,,,
1.82E-05,16,16,,,
1.82E-05,21,21,,,
1.82E-05,21,21,,,
3.08E-05,21,21,,,
3.60E-05,20,20,,,
2.35E-05,19,19,,,
1.95E-05,19,19,,,
1.94E-05,20,20,,,
3.96E-05,20,20,,,
1.94E-05,23,23,,,
1.95E-05,22,22,,,
1.94E-05,17,17,,,
1.95E-05,19,19,,,
1.96E-05,16,16,,,
1.93E-05,20,20,,,
3.79E-05,19,19,,,
1.92E-05,17,17,,,
1.89E-05,23,23,,,
1.91E-05,26,26,,,
2.00E-05,27,27,,,
2.02E-05,27,27,,,
2.10E-05,26,26,,,
1.89E-05,26,26,,,
1.84E-05,25,25,,,
2.77E-05,22,22,,,
2.10E-05,24,24,,,
1.87E-05,23,23,,,
1.86E-05,21,21,,,
1.82E-05,18,18,,,
2.03E-05,19,19,,,
1.88E-05,18,18,,,
1.85E-05,19,19,,,
1.85E-05,22,22,,,
2.83E-05,24,24,,,
1.85E-05,27,27,,,
1.85E-05,23,23,,,
1.87E-05,29,29,,,
1.95E-05,27,27,,,
1.88E-05,26,26,,,
1.86E-05,25,25,,,
1.87E-05,26,26,,,
1.84E-05,24,24,,,
2.77E-05,26,26,,,
1.86E-05,26,26,,,
1.84E-05,26,26,,,
1.84E-05,26,26,,,
2.02E-05,26,26,,,
1.91E-05,28,28,,,
1.86E-05,26,26,,,
2.10E-05,26,26,,,
1.98E-05,24,24,,,
1.86E-05,20,20,,,
1.87E-05,24,24,,,
1.84E-05,23,23,,,
2.99E-05,21,21,,,
3.21E-05,21,21,,,
2.62E-05,21,21,,,
9.49E-05,21,21,,,
2.35E-05,22,22,,,
2.52E-05,22,22,,,
1.83E-05,22,22,,,
1.99E-05,22,22,,,
1.99E-05,21,21,,,
1.82E-05,19,19,,,
1.86E-05,16,16,,,
1.99E-05,17,17,,,
2.64E-05,16,16,,,
2.72E-05,18,18,,,
1.82E-05,17,17,,,
1.91E-05,17,17,,,
1.82E-05,16,16,,,
2.43E-05,23,23,,,
1.85E-05,23,23,,,
2.10E-05,21,21,,,
1.97E-05,22,22,,,
1.84E-05,22,22,,,
1.83E-05,23,23,,,
1.90E-05,27,27,,,
1.84E-05,26,26,,,
1.92E-05,29,29,,,
1.97E-05,28,28,,,
2.24E-05,32,32,,,
2.12E-05,35,35,,,
1.89E-05,38,38,,,
1.86E-05,36,36,,,
1.88E-05,36,36,,,
1.89E-05,38,38,,,
2.05E-05,41,41,,,
2.31E-05,40,40,,,
1.89E-05,41,41,,,
2.21E-05,40,40,,,
1.92E-05,40,40,,,
2.30E-05,42,42,,,
2.58E-05,40,40,,,
2.32E-05,39,39,,,
2.63E-05,35,35,,,
1.97E-05,41,41,,,
1.97E-05,43,43,,,
1.91E-05,40,40,,,
1.90E-05,40,40,,,
1.90E-05,42,42,,,
2.04E-05,41,41,,,
1.93E-05,46,46,,,
2.60E-05,46,46,,,
1.94E-05,45,45,,,
1.93E-05,43,43,,,
1.90E-05,38,38,,,
1.88E-05,36,36,,,
1.89E-05,35,35,,,
1.89E-05,35,35,,,
2.56E-05,34,34,,,
1.92E-05,33,33,,,
1.91E-05,32,32,,,
1.99E-05,33,33,,,
1.86E-05,32,32,,,
1.87E-05,29,29,,,
1.93E-05,28,28,,,
1.86E-05,31,31,,,
1.88E-05,32,32,,,
2.22E-05,29,29,,,
1.88E-05,28,28,,,
1.87E-05,27,27,,,
1.90E-05,26,26,,,
1.86E-05,25,25,,,
1.83E-05,25,25,,,
2.32E-05,26,26,,,
1.87E-05,26,26,,,
1.85E-05,25,25,,,
1.85E-05,24,24,,,
1.89E-05,23,23,,,
1.86E-05,22,22,,,
1.90E-05,25,25,,,
1.85E-05,26,26,,,
1.85E-05,25,25,,,
2.02E-05,24,24,,,
1.89E-05,23,23,,,
1.88E-05,29,29,,,
1.87E-05,28,28,,,
1.93E-05,29,29,,,
1.99E-05,26,26,,,
1.96E-05,25,25,,,
1.96E-05,24,24,,,
1.92E-05,25,25,,,
2.03E-05,25,25,,,
1.86E-05,23,23,,,
1.86E-05,22,22,,,
1.85E-05,22,22,,,
1.86E-05,29,29,,,
1.88E-05,33,33,,,
1.85E-05,27,27,,,
2.50E-05,27,27,,,
1.89E-05,28,28,,,
2.03E-05,28,28,,,
1.89E-05,33,33,,,
1.87E-05,33,33,,,
1.87E-05,33,33,,,
2.18E-05,34,34,,,
1.88E-05,35,35,,,
1.89E-05,34,34,,,
1.87E-05,27,27,,,
1.84E-05,26,26,,,
1.82E-05,23,23,,,
1.83E-05,22,22,,,
1.83E-05,18,18,,,
1.83E-05,18,18,,,
1.81E-05,19,19,,,
2.20E-05,17,17,,,
1.85E-05,20,20,,,
2.38E-05,28,28,,,
1.87E-05,28,28,,,
2.35E-05,33,33,,,
1.99E-05,33,33,,,
1.86E-05,30,30,,,
1.86E-05,30,30,,,
3.10E-05,28,28,,,
2.50E-05,25,25,,,
1.91E-05,24,24,,,
1.86E-05,25,25,,,
1.84E-05,26,26,,,
1.86E-05,26,26,,,
1.88E-05,26,26,,,
1.90E-05,24,24,,,
