cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,,,,,,
1.30E-06,17,23,24,,,,,0.0000013,5,2,3
1.40E-06,8,20,21,,,,,0.0000012,16,2,3
1.20E-06,12,21,22,,,,,0.0000013,12,2,3
1.30E-06,11,23,24,,,,,0.0000013,11,2,3
1.30E-06,17,26,27,,,,,0.0000015,7,2,3
1.60E-06,19,23,24,,,,,0.0000012,20,2,3
1.10E-06,6,24,25,,,,,0.0000014,18,2,3
1.20E-06,6,25,26,,,,,0.0000014,2,2,3
1.10E-06,17,26,27,,,,,0.0000011,2,2,3
1.20E-06,15,27,28,,,,,0.0000012,8,2,3
1.20E-06,17,29,30,,,,,0.0000011,19,2,3
2.40E-06,18,30,31,,,,,0.0000016,10,2,3
1.30E-06,17,33,34,,,,,0.0000015,13,2,3
2.80E-06,13,29,30,,,,,0.0000013,7,2,3
1.90E-06,20,23,24,,,,,0.0000019,17,2,3
1.50E-06,9,22,23,,,,,0.0000013,3,2,3
1.40E-06,14,23,24,,,,,0.0000022,12,2,3
2.20E-06,12,24,25,,,,,0.0000014,3,2,3
2.60E-06,15,26,27,,,,,0.0000013,4,2,3
1.40E-06,14,19,20,,,,,0.0000013,3,2,3
1.30E-06,14,16,17,,,,,0.0000012,18,2,3
1.30E-06,17,14,15,,,,,0.0000015,5,2,3
1.70E-06,19,11,12,,,,,0.0000012,16,2,3
1.30E-06,18,12,13,,,,,0.0000013,19,2,3
1.20E-06,18,11,12,,,,,0.0000013,4,2,3
1.20E-06,16,10,11,,,,,0.0000015,10,2,3
1.40E-06,10,10,11,,,,,0.0000013,13,2,3
1.20E-06,20,10,11,,,,,0.0000014,7,3,4
1.60E-06,8,11,12,,,,,0.0000015,10,3,4
1.30E-06,2,14,15,,,,,0.0000013,14,3,4
1.50E-06,7,19,20,,,,,0.0000011,20,3,4
1.20E-06,15,20,21,,,,,0.0000013,1,3,4
1.40E-06,18,21,22,,,,,0.0000012,13,3,4
2.44E-05,20,25,26,,,,,0.0000012,14,3,4
1.20E-06,7,24,25,,,,,0.0000012,16,3,4
1.30E-06,4,25,26,,,,,0.0000012,14,3,4
1.50E-06,1,24,25,,,,,0.0000013,16,3,4
1.40E-06,3,25,26,,,,,0.0000017,2,3,4
1.20E-06,3,27,28,,,,,0.0000014,11,3,4
