cas operacie,cislo na indexe,index prvku,dlzka zoznamu,,
1.97E-05,7,16,18,,
1.74E-05,43,2,18,,
1.73E-05,84,9,18,,
1.74E-05,79,8,18,,
1.71E-05,43,1,20,,
1.73E-05,75,16,18,,
2.06E-05,43,0,16,,
1.96E-05,75,14,17,,
1.89E-05,9,5,17,,
1.76E-05,59,1,15,,
1.68E-05,9,0,12,,
1.74E-05,59,1,12,,
1.70E-05,69,2,11,,
1.71E-05,9,4,11,,
1.74E-05,54,10,12,,
1.72E-05,12,11,13,,
1.71E-05,69,5,15,,
1.74E-05,65,9,15,,
1.74E-05,9,7,15,,
1.74E-05,41,10,14,,
1.75E-05,15,13,15,,
1.71E-05,54,2,19,,
1.74E-05,43,17,19,,
2.14E-05,43,17,19,,
1.73E-05,73,2,19,,
1.74E-05,47,7,19,,
1.77E-05,9,9,19,,
1.75E-05,43,16,19,,
1.70E-05,73,3,22,,
1.75E-05,16,1,24,,
1.89E-05,4,22,24,,
1.84E-05,73,3,24,,
1.82E-05,4,22,25,,
1.78E-05,4,22,25,,
1.74E-05,7,14,22,,
1.71E-05,73,3,22,,
1.74E-05,7,15,22,,
1.78E-05,14,0,23,,
1.74E-05,43,17,23,,
1.69E-05,18,7,21,,
2.96E-05,48,12,21,,
3.38E-05,79,5,21,,
2.46E-05,77,11,21,,
1.77E-05,11,18,23,,
1.71E-05,48,9,22,,
1.71E-05,70,10,22,,
1.73E-05,48,9,22,,
1.71E-05,58,8,22,,
1.70E-05,43,3,21,,
1.87E-05,58,8,22,,
1.70E-05,48,8,18,,
1.75E-05,43,17,21,,
1.73E-05,43,6,22,,
1.72E-05,48,10,22,,
1.74E-05,43,17,22,,
1.74E-05,75,13,22,,
1.70E-05,43,6,22,,
1.70E-05,69,0,22,,
1.75E-05,80,15,23,,
1.71E-05,1,6,23,,
1.74E-05,3,3,24,,
1.75E-05,43,18,24,,
1.76E-05,57,20,24,,
2.10E-05,83,15,23,,
3.47E-05,57,20,25,,
3.11E-05,48,10,23,,
3.51E-05,88,16,24,,
2.60E-05,59,9,24,,
2.28E-05,75,12,23,,
2.42E-05,11,0,23,,
1.71E-05,3,3,23,,
1.73E-05,88,10,23,,
1.77E-05,12,27,30,,
2.91E-05,12,27,31,,
1.93E-05,64,27,32,,
1.86E-05,53,18,33,,
1.77E-05,59,1,33,,
2.01E-05,11,4,33,,
2.04E-05,50,25,36,,
1.71E-05,11,3,36,,
1.80E-05,12,30,36,,
1.74E-05,8,10,36,,
1.74E-05,59,16,36,,
1.71E-05,11,3,37,,
1.77E-05,7,21,37,,
1.82E-05,88,14,36,,
1.76E-05,43,12,36,,
1.70E-05,59,0,36,,
1.85E-05,10,32,36,,
1.71E-05,69,4,36,,
1.74E-05,43,12,36,,
1.76E-05,14,17,37,,
1.72E-05,54,6,38,,
1.76E-05,43,12,36,,
1.79E-05,85,32,38,,
1.69E-05,79,2,41,,
1.69E-05,10,1,40,,
1.71E-05,11,3,40,,
1.78E-05,7,24,40,,
1.80E-05,13,38,40,,
1.81E-05,9,34,41,,
1.71E-05,3,6,39,,
1.85E-05,54,32,41,,
1.76E-05,1,16,42,,
1.75E-05,70,16,43,,
1.79E-05,14,23,41,,
1.84E-05,2,38,41,,
1.83E-05,2,37,40,,
1.80E-05,78,26,40,,
1.71E-05,11,7,40,,
1.81E-05,85,36,40,,
1.72E-05,59,10,39,,
1.90E-05,79,4,39,,
2.21E-05,4,0,39,,
1.81E-05,2,32,35,,
1.81E-05,85,31,35,,
1.71E-05,68,7,33,,
1.78E-05,9,28,33,,
1.76E-05,45,21,33,,
1.74E-05,15,12,33,,
2.43E-05,73,12,33,,
1.71E-05,59,5,33,,
1.77E-05,51,20,35,,
1.71E-05,68,7,34,,
1.76E-05,89,13,35,,
1.80E-05,85,27,35,,
1.70E-05,85,4,35,,
1.74E-05,64,15,35,,
1.76E-05,50,17,35,,
1.72E-05,57,8,33,,
1.74E-05,73,17,33,,
1.68E-05,47,1,33,,
1.86E-05,17,32,34,,
1.79E-05,85,28,36,,
1.76E-05,50,17,36,,
1.79E-05,85,28,37,,
1.75E-05,50,17,38,,
1.78E-05,42,30,34,,
1.80E-05,10,29,35,,
1.79E-05,10,29,35,,
2.67E-05,6,23,34,,
1.69E-05,1,6,31,,
1.80E-05,10,27,32,,
1.76E-05,59,10,32,,
1.72E-05,55,1,32,,
1.77E-05,86,24,32,,
1.80E-05,8,29,32,,
1.82E-05,42,28,32,,
1.70E-05,87,2,32,,
1.70E-05,17,0,32,,
1.78E-05,77,29,34,,
1.79E-05,85,25,32,,
1.77E-05,43,23,33,,
1.74E-05,50,16,33,,
1.72E-05,68,4,33,,
1.72E-05,89,8,33,,
1.93E-05,86,27,32,,
1.82E-05,77,28,33,,
1.79E-05,3,9,34,,
1.74E-05,64,14,34,,
1.78E-05,77,28,33,,
1.72E-05,74,12,33,,
1.70E-05,55,2,33,,
1.72E-05,8,10,34,,
1.76E-05,64,15,35,,
2.39E-05,51,20,35,,
1.77E-05,12,19,34,,
1.81E-05,64,31,35,,
1.72E-05,20,9,36,,
1.75E-05,20,7,33,,
1.71E-05,56,5,31,,
1.75E-05,58,25,32,,
1.70E-05,20,4,32,,
1.76E-05,85,23,33,,
1.72E-05,20,9,33,,
1.70E-05,20,5,33,,
2.64E-05,67,19,33,,
2.36E-05,85,28,33,,
1.76E-05,16,2,34,,
1.95E-05,50,26,36,,
1.80E-05,67,21,36,,
1.76E-05,61,17,35,,
1.75E-05,3,14,35,,
1.76E-05,67,21,35,,
1.71E-05,20,6,35,,
1.74E-05,8,16,35,,
1.73E-05,77,8,35,,
2.11E-05,3,13,33,,
