cas operacie,cislo,index prvku,dlzka zoznamu,,,
1.73E-05,63,6,9,,,
1.71E-05,70,0,9,,,
1.71E-05,65,2,9,,,
1.74E-05,53,6,8,,,
1.72E-05,72,5,7,,,
1.71E-05,50,0,7,,,
1.75E-05,88,4,12,,,
2.54E-05,69,4,12,,,
1.72E-05,67,3,16,,,
1.78E-05,62,12,15,,,
1.74E-05,41,12,15,,,
1.76E-05,66,10,16,,,
1.69E-05,79,0,16,,,
1.72E-05,69,5,16,,,
1.74E-05,42,7,17,,,
1.73E-05,85,10,15,,,
1.75E-05,83,13,15,,,
1.78E-05,69,5,14,,,
1.75E-05,84,9,16,,,
1.73E-05,65,6,17,,,
1.72E-05,50,0,17,,,
1.74E-05,54,12,17,,,
1.74E-05,79,7,17,,,
1.79E-05,51,2,18,,,
1.79E-05,44,13,17,,,
1.73E-05,43,1,17,,,
1.72E-05,86,6,17,,,
1.72E-05,59,4,18,,,
1.83E-05,86,15,18,,,
1.96E-05,75,16,18,,,
1.77E-05,56,14,18,,,
1.77E-05,47,11,17,,,
1.76E-05,54,16,20,,,
1.87E-05,41,9,16,,,
1.79E-05,45,12,15,,,
6.38E-05,69,12,15,,,
1.74E-05,58,1,15,,,
1.77E-05,49,8,15,,,
1.77E-05,47,6,15,,,
1.73E-05,48,4,15,,,
1.78E-05,64,12,15,,,
1.70E-05,54,0,15,,,
1.90E-05,85,9,14,,,
1.94E-05,49,7,15,,,
1.74E-05,79,4,18,,,
1.78E-05,50,15,19,,,
1.73E-05,73,3,19,,,
1.78E-05,43,17,19,,,
1.87E-05,81,3,19,,,
1.81E-05,67,20,22,,,
1.77E-05,78,15,22,,,
1.73E-05,75,1,22,,,
1.72E-05,68,4,22,,,
1.74E-05,58,7,22,,,
1.87E-05,49,11,24,,,
1.89E-05,60,13,24,,,
1.80E-05,83,20,24,,,
1.77E-05,89,15,24,,,
1.94E-05,72,2,24,,,
1.84E-05,88,21,23,,,
1.78E-05,60,9,23,,,
1.74E-05,62,9,22,,,
1.75E-05,46,1,22,,,
1.75E-05,48,11,22,,,
1.73E-05,78,2,22,,,
2.34E-05,44,19,22,,,
1.78E-05,77,11,23,,,
1.78E-05,73,16,23,,,
1.77E-05,52,20,22,,,
1.71E-05,43,4,21,,,
1.75E-05,72,8,22,,,
1.92E-05,67,3,21,,,
1.76E-05,53,3,21,,,
1.77E-05,70,10,21,,,
1.77E-05,48,9,21,,,
1.72E-05,88,3,21,,,
2.28E-05,69,10,20,,,
1.79E-05,65,15,21,,,
1.78E-05,50,13,20,,,
1.81E-05,57,21,23,,,
1.78E-05,88,16,23,,,
1.77E-05,51,14,23,,,
