cas operacie,vlozene cislo,priorita,velkost frontu,,,
0.0005378,9,208,20396,,,
8.19E-05,66,5782,20397,,,
0.0005183,44,1215,20398,,,
6.86E-05,30,1897,20399,,,
0.0008512,29,4032,20400,,,
0.0001547,40,5245,20401,,,
7.22E-05,36,6401,20402,,,
0.0002531,19,2796,20403,,,
5.43E-05,59,4905,20402,,,
0.0002572,35,2304,20402,,,
5.49E-05,19,7285,20403,,,
0.0003034,16,1246,20404,,,
5.85E-05,27,1685,20405,,,
5.82E-05,11,6174,20404,,,
5.79E-05,68,5540,20405,,,
0.000158,22,1739,20406,,,
5.55E-05,22,8648,20407,,,
5.52E-05,68,6318,20407,,,
5.49E-05,69,8639,20407,,,
0.0003308,18,664,20408,,,
0.0005224,45,79,20409,,,
0.000226,50,1139,20410,,,
0.0003437,35,394,20411,,,
5.10E-05,70,9953,20412,,,
5.01E-05,28,4744,20413,,,
0.0001363,46,5496,20414,,,
5.25E-05,15,7628,20415,,,
0.000137,26,7964,20416,,,
4.93E-05,31,9652,20417,,,
0.0014215,50,2,20418,,,
0.0001583,56,1600,20419,,,
0.0001374,6,7374,20420,,,
0.0001361,48,5851,20421,,,
5.01E-05,2,6131,20422,,,
5.64E-05,20,6454,20423,,,
0.0001337,59,3210,20424,,,
5.16E-05,41,9730,20425,,,
0.0005474,23,325,20426,,,
5.20E-05,36,3312,20427,,,
0.0001676,40,7114,20428,,,
0.0001622,35,7062,20428,,,
0.0001261,12,5103,20428,,,
4.52E-05,21,5180,20429,,,
0.0001278,9,8078,20430,,,
0.0001333,22,6322,20431,,,
0.0001282,19,4646,20432,,,
5.66E-05,66,5421,20432,,,
5.83E-05,54,9312,20432,,,
5.68E-05,46,8940,20433,,,
6.07E-05,30,8762,20434,,,
5.77E-05,38,8239,20435,,,
5.88E-05,4,5240,20435,,,
0.0001598,61,6693,20436,,,
0.0003125,68,1573,20437,,,
0.0004599,53,1247,20437,,,
0.0001857,4,4450,20438,,,
0.0001933,3,3527,20439,,,
0.0001518,19,3463,20439,,,
0.0004144,21,1478,20439,,,
5.02E-05,59,5420,20437,,,
5.30E-05,13,6528,20437,,,
0.0002448,53,1226,20438,,,
4.88E-05,47,5535,20439,,,
0.0001594,62,7234,20440,,,
0.0001578,23,5455,20440,,,
0.0003561,8,587,20441,,,
0.0001565,66,1240,20441,,,
5.77E-05,13,6268,20442,,,
5.47E-05,35,4521,20443,,,
0.0001504,12,7463,20444,,,
5.61E-05,60,8055,20445,,,
5.60E-05,39,7803,20446,,,
0.0001365,19,3164,20447,,,
0.0003201,67,1266,20448,,,
5.15E-05,49,4083,20449,,,
5.10E-05,12,4742,20450,,,
0.0001402,38,2230,20451,,,
0.0003212,62,859,20452,,,
5.37E-05,6,5641,20453,,,
0.0001402,18,8455,20454,,,
0.0001399,27,3954,20455,,,
0.0001407,28,4406,20456,,,
0.0005426,20,369,20457,,,
0.0001129,8,7006,20458,,,
0.000136,33,1424,20459,,,
5.00E-05,42,6916,20460,,,
5.17E-05,56,7291,20461,,,
5.82E-05,2,6115,20461,,,
5.82E-05,47,2451,20462,,,
5.81E-05,35,2044,20462,,,
5.75E-05,25,6425,20463,,,
5.63E-05,46,2835,20462,,,
5.62E-05,10,1663,20462,,,
4.92E-05,64,3792,20462,,,
5.21E-05,55,9983,20460,,,
5.24E-05,50,7792,20461,,,
5.87E-05,35,9779,20461,,,
5.86E-05,20,5148,20461,,,
5.79E-05,50,9666,20461,,,
5.69E-05,26,2092,20462,,,
0.000553,27,3946,20462,,,
0.0002135,29,946,20463,,,
5.82E-05,61,2323,20463,,,
0.0002519,11,2483,20464,,,
5.66E-05,30,5553,20465,,,
0.0001548,7,5597,20466,,,
0.0001687,5,3817,20467,,,
0.0001635,4,8254,20468,,,
0.0001605,18,7459,20468,,,
0.0004569,70,1821,20469,,,
0.0001923,64,5911,20470,,,
0.000184,22,5106,20471,,,
6.35E-05,64,4354,20472,,,
5.95E-05,26,4838,20473,,,
6.86E-05,37,5871,20474,,,
7.14E-05,44,9045,20475,,,
0.0002348,64,1404,20476,,,
0.0001425,11,2693,20477,,,
5.15E-05,15,3491,20475,,,
0.0005173,9,889,20475,,,
6.18E-05,48,6512,20476,,,
8.19E-05,19,6999,20477,,,
0.0002273,14,6086,20478,,,
0.0001973,17,5094,20479,,,
0.0001551,54,3214,20480,,,
5.99E-05,65,7152,20481,,,
5.52E-05,16,8144,20482,,,
0.0002957,68,1924,20483,,,
0.0002298,3,2162,20484,,,
5.00E-05,41,8121,20485,,,
0.0002519,26,2602,20486,,,
5.73E-05,9,7808,20486,,,
5.76E-05,52,7946,20486,,,
0.0003552,32,588,20487,,,
0.0005161,51,552,20487,,,
0.0001397,40,6681,20488,,,
0.0003248,41,621,20489,,,
4.98E-05,42,5980,20490,,,
0.0001407,22,1695,20491,,,
0.0001342,59,5100,20492,,,
0.0005816,2,88,20492,,,
5.00E-05,8,2795,20493,,,
5.19E-05,24,7280,20493,,,
0.0001407,4,3324,20494,,,
5.15E-05,5,4095,20495,,,
5.15E-05,15,7867,20496,,,
0.0001415,35,1821,20497,,,
0.0001458,46,1865,20498,,,
3.94E-05,2,6571,20499,,,
0.0001069,20,3660,20500,,,
3.92E-05,29,5440,20501,,,
