cas operacie,vybrane cislo,velkost frontu,,,
0.0003336,51,20667,,,
0.0002511,42,20666,,,
0.0002602,41,20666,,,
0.0002522,37,20667,,,
0.0002571,24,20669,,,
0.0003041,57,20669,,,
0.0003627,53,20676,,,
0.0005373,33,20676,,,
0.0002723,55,20692,,,
0.0002803,16,20693,,,
0.0002829,26,20702,,,
0.0003935,66,20705,,,
0.0002779,66,20708,,,
0.0002698,42,20711,,,
0.0002962,25,20713,,,
0.0003025,23,20713,,,
0.0003223,7,20715,,,
0.0004145,39,20716,,,
0.0006053,50,20715,,,
0.0005198,31,20714,,,
0.0004329,58,20725,,,
0.0002598,25,20729,,,
0.0003521,18,20731,,,
0.0003978,32,20730,,,
0.0004877,64,20731,,,
0.0003588,2,20731,,,
0.0003779,11,20730,,,
0.0003362,29,20729,,,
0.0003686,30,20733,,,
0.0002733,47,20739,,,
0.0003482,64,20738,,,
0.0003599,45,20737,,,
0.0002921,28,20742,,,
0.0002679,68,20742,,,
0.0002843,35,20741,,,
0.0002676,7,20743,,,
0.0006784,67,20744,,,
0.0002863,54,20745,,,
0.0002687,61,20753,,,
0.0003017,33,20760,,,
0.0003906,48,20763,,,
0.0002856,22,20762,,,
0.0002595,20,20766,,,
0.0002309,69,20765,,,
0.0003038,24,20771,,,
0.0004099,19,20771,,,
0.0003119,6,20776,,,
0.0003097,48,20777,,,
0.0003764,43,20776,,,
0.0002448,37,20775,,,
0.0002706,69,20790,,,
0.0002668,49,20791,,,
0.0002453,48,20790,,,
0.0002638,50,20790,,,
0.0002356,29,20796,,,
0.0002032,29,20799,,,
0.0002568,32,20809,,,
0.0002767,2,20815,,,
0.0002154,68,20816,,,
0.0002821,1,20822,,,
0.0002734,61,20821,,,
0.0002708,35,20822,,,
0.0002485,46,20823,,,
0.0002702,23,20824,,,
0.0002685,16,20823,,,
0.0003855,3,20830,,,
0.00033,39,20829,,,
0.0003897,42,20831,,,
0.0002636,35,20830,,,
0.0002696,3,20829,,,
0.0002718,38,20830,,,
0.000205,24,20837,,,
0.000324,4,20842,,,
0.0002704,35,20847,,,
0.0002291,3,20847,,,
0.0002032,32,20848,,,
0.0002029,33,20847,,,
0.0003417,22,20848,,,
0.0002047,44,20855,,,
0.000203,50,20854,,,
0.0002033,57,20855,,,
0.0003396,13,20857,,,
0.0002729,21,20856,,,
0.0002538,25,20858,,,
0.000268,15,20857,,,
0.000254,2,20866,,,
0.0002666,27,20866,,,
0.0002697,37,20872,,,
0.0002689,38,20881,,,
0.0002855,7,20886,,,
0.0003081,12,20890,,,
0.0002709,31,20890,,,
0.0002692,20,20889,,,
0.0002466,24,20890,,,
0.0002599,46,20889,,,
0.0002781,16,20891,,,
0.0002166,56,20890,,,
0.0002035,39,20893,,,
0.0002654,70,20898,,,
0.0002063,29,20898,,,
0.000205,16,20899,,,
0.0002032,30,20899,,,
0.0002663,8,20906,,,
0.0005622,55,20905,,,
0.0002692,17,20906,,,
0.0003094,52,20910,,,
0.0002622,35,20910,,,
0.0002661,11,20909,,,
0.0002844,65,20916,,,
0.0002789,9,20918,,,
0.0002936,38,20919,,,
0.0002639,67,20918,,,
0.0003778,43,20919,,,
0.0002725,14,20918,,,
0.0003971,3,20919,,,
0.0002612,50,20918,,,
0.0004496,30,20923,,,
0.0004443,69,20923,,,
0.0004701,8,20927,,,
0.0002562,69,20926,,,
0.0002032,27,20930,,,
0.0002118,39,20931,,,
0.0002028,48,20931,,,
0.0003723,68,20935,,,
0.000205,55,20936,,,
0.0002038,12,20935,,,
0.0002033,18,20934,,,
0.0002032,24,20938,,,
0.0002031,25,20937,,,
0.0005987,36,20936,,,
0.000204,55,20935,,,
0.0002083,40,20935,,,
0.0002025,24,20937,,,
0.0002588,23,20939,,,
0.000269,51,20938,,,
0.0004312,70,20938,,,
0.0002748,25,20938,,,
0.0002828,29,20937,,,
0.0002698,47,20936,,,
0.0002608,27,20942,,,
0.0002866,16,20946,,,
0.0002633,63,20950,,,
0.0002691,63,20949,,,
0.0002713,32,20949,,,
0.0002643,11,20953,,,
0.0003573,58,20952,,,
0.0002435,22,20952,,,
0.0003383,46,20957,,,
0.0002547,31,20958,,,
0.0002698,10,20958,,,
0.0002317,68,20976,,,
0.000204,42,20975,,,
0.0002037,5,20980,,,
0.0004159,17,20980,,,
0.0004652,16,20980,,,
0.0002711,11,20979,,,
0.0002649,28,20980,,,
0.000336,63,20979,,,
0.0002723,37,20979,,,
0.0002852,67,20979,,,
0.0004041,66,20980,,,
0.0002691,18,21001,,,
0.0002734,1,21001,,,
0.0002681,2,21001,,,
0.0002729,10,21003,,,
0.0002536,10,21004,,,
0.0002854,24,21010,,,
0.0003188,38,21011,,,
0.0002978,9,21013,,,
0.0003334,46,21012,,,
0.0003174,5,21015,,,
0.0002914,21,21015,,,
0.0002782,15,21014,,,
0.0004299,27,21013,,,
0.0002772,12,21020,,,
0.0002761,38,21020,,,
0.0002796,60,21031,,,
0.0002793,5,21031,,,
0.0003394,30,21037,,,
