cas operacie,cislo,velkost frontu,,,
3.17E-05,32,22305,,,
3.66E-05,32,22305,,,
3.74E-05,47,22315,,,
5.20E-05,32,22313,,,
3.78E-05,52,22316,,,
2.37E-05,13,22317,,,
2.40E-05,54,22344,,,
3.19E-05,52,22342,,,
3.18E-05,26,22370,,,
3.08E-05,26,22371,,,
2.37E-05,62,22407,,,
2.35E-05,6,22408,,,
2.80E-05,20,22428,,,
2.39E-05,7,22430,,,
2.42E-05,39,22430,,,
2.38E-05,14,22440,,,
2.37E-05,14,22442,,,
2.37E-05,18,22457,,,
2.34E-05,18,22459,,,
3.18E-05,69,22479,,,
3.95E-05,32,22488,,,
2.37E-05,66,22503,,,
2.41E-05,12,22530,,,
3.13E-05,22,22556,,,
3.49E-05,24,22566,,,
2.42E-05,58,22566,,,
2.35E-05,65,22583,,,
2.36E-05,54,22590,,,
2.36E-05,53,22590,,,
3.06E-05,9,22599,,,
3.37E-05,21,22615,,,
3.04E-05,24,22641,,,
3.05E-05,52,22648,,,
3.78E-05,52,22651,,,
3.05E-05,46,22656,,,
3.43E-05,48,22659,,,
3.01E-05,69,22708,,,
3.21E-05,61,22711,,,
3.72E-05,11,22708,,,
3.39E-05,11,22709,,,
2.97E-05,15,22711,,,
3.09E-05,64,22711,,,
3.00E-05,48,22725,,,
3.05E-05,58,22727,,,
3.75E-05,52,22731,,,
4.14E-05,67,22797,,,
3.08E-05,28,22817,,,
3.05E-05,37,22817,,,
3.16E-05,6,22834,,,
3.08E-05,66,22836,,,
5.83E-05,66,22839,,,
5.07E-05,52,22876,,,
3.10E-05,70,22883,,,
3.08E-05,70,22883,,,
3.23E-05,30,22909,,,
2.40E-05,5,22916,,,
3.11E-05,48,22920,,,
3.92E-05,24,22931,,,
3.05E-05,43,22946,,,
3.08E-05,9,22961,,,
3.56E-05,9,22962,,,
2.80E-05,34,23006,,,
3.10E-05,57,23008,,,
3.13E-05,27,23027,,,
3.14E-05,51,23035,,,
2.37E-05,23,23039,,,
4.11E-05,69,23041,,,
3.07E-05,67,23046,,,
3.06E-05,67,23048,,,
3.23E-05,19,23099,,,
3.11E-05,6,23102,,,
6.46E-05,18,23114,,,
3.08E-05,62,23116,,,
3.09E-05,43,23121,,,
3.04E-05,26,23140,,,
2.92E-05,26,23141,,,
2.98E-05,21,23144,,,
2.89E-05,42,23191,,,
2.42E-05,6,23199,,,
2.38E-05,6,23199,,,
2.37E-05,9,23229,,,
3.27E-05,25,23229,,,
2.39E-05,23,23227,,,
3.02E-05,61,23233,,,
2.73E-05,33,23242,,,
2.73E-05,33,23243,,,
7.78E-05,8,23247,,,
3.20E-05,64,23255,,,
3.12E-05,34,23260,,,
3.14E-05,34,23262,,,
2.39E-05,60,23288,,,
3.03E-05,32,23297,,,
3.10E-05,20,23322,,,
2.40E-05,41,23327,,,
2.39E-05,60,23331,,,
9.93E-05,60,23332,,,
2.43E-05,49,23373,,,
3.10E-05,6,23395,,,
3.10E-05,58,23394,,,
3.05E-05,3,23424,,,
3.40E-05,3,23429,,,
3.43E-05,32,23428,,,
3.35E-05,32,23428,,,
9.69E-05,62,23444,,,
2.37E-05,2,23454,,,
3.12E-05,38,23459,,,
2.89E-05,30,23491,,,
3.25E-05,59,23506,,,
2.43E-05,38,23517,,,
3.53E-05,1,23533,,,
3.13E-05,42,23542,,,
3.13E-05,59,23541,,,
3.49E-05,69,23546,,,
3.03E-05,53,23562,,,
3.08E-05,3,23586,,,
3.07E-05,19,23587,,,
3.59E-05,13,23602,,,
3.13E-05,44,23602,,,
3.12E-05,34,23604,,,
3.13E-05,8,23607,,,
3.02E-05,8,23609,,,
3.14E-05,69,23614,,,
2.71E-05,55,23620,,,
3.39E-05,9,23622,,,
3.18E-05,46,23634,,,
3.06E-05,17,23650,,,
3.06E-05,56,23652,,,
3.42E-05,56,23655,,,
3.09E-05,67,23668,,,
2.86E-05,9,23668,,,
3.14E-05,1,23669,,,
3.10E-05,10,23669,,,
3.19E-05,63,23679,,,
3.12E-05,5,23679,,,
3.21E-05,26,23692,,,
2.81E-05,8,23695,,,
5.74E-05,51,23694,,,
3.08E-05,58,23710,,,
2.36E-05,23,23728,,,
2.39E-05,58,23727,,,
3.19E-05,22,23728,,,
3.10E-05,12,23729,,,
3.17E-05,27,23743,,,
2.44E-05,21,23744,,,
3.00E-05,13,23748,,,
3.09E-05,13,23750,,,
3.05E-05,21,23764,,,
3.12E-05,39,23778,,,
3.03E-05,21,23790,,,
3.03E-05,21,23790,,,
3.09E-05,47,23789,,,
3.05E-05,47,23789,,,
2.50E-05,47,23790,,,
2.37E-05,18,23802,,,
2.38E-05,69,23806,,,
2.97E-05,56,23818,,,
2.38E-05,46,23828,,,
2.34E-05,46,23829,,,
3.12E-05,12,23836,,,
3.08E-05,13,23851,,,
3.29E-05,41,23857,,,
2.71E-05,8,23922,,,
3.08E-05,46,23925,,,
2.98E-05,47,23925,,,
2.50E-05,5,23929,,,
3.15E-05,37,23933,,,
3.08E-05,62,23945,,,
2.36E-05,62,23951,,,
2.33E-05,47,23951,,,
4.16E-05,30,23954,,,
2.42E-05,16,23965,,,
2.37E-05,64,23963,,,
2.37E-05,64,23963,,,
2.36E-05,29,23964,,,
2.38E-05,63,23966,,,
2.89E-05,9,23982,,,
3.15E-05,41,23999,,,
2.78E-05,8,24002,,,
3.02E-05,8,24004,,,
2.99E-05,29,24013,,,
3.03E-05,45,24020,,,
3.06E-05,45,24020,,,
3.08E-05,51,24031,,,
3.14E-05,51,24033,,,
3.06E-05,46,24040,,,
2.41E-05,58,24044,,,
2.37E-05,50,24054,,,
3.07E-05,33,24062,,,
3.26E-05,28,24074,,,
8.36E-05,70,24082,,,
2.37E-05,16,24081,,,
3.12E-05,51,24107,,,
3.06E-05,51,24108,,,
3.44E-05,70,24122,,,
0.000109,67,24128,,,
3.22E-05,67,24129,,,
3.27E-05,6,24134,,,
3.02E-05,70,24145,,,
5.73E-05,36,24150,,,
3.07E-05,57,24164,,,
3.07E-05,1,24168,,,
4.04E-05,1,24188,,,
0.0016229,19,24191,,,
2.94E-05,70,24193,,,
2.83E-05,11,24192,,,
2.82E-05,11,24192,,,
2.77E-05,34,24193,,,
3.29E-05,29,24214,,,
2.98E-05,15,24215,,,
3.02E-05,52,24220,,,
3.02E-05,52,24239,,,
0.0001383,24,24244,,,
3.21E-05,3,24265,,,
3.48E-05,52,24304,,,
2.39E-05,14,24323,,,
0.0001362,66,24331,,,
