cas operacie,vybrane cislo,velkost frontu,,,
2.43E-05,58,20496,,,
3.26E-05,2,20498,,,
3.21E-05,46,20505,,,
3.10E-05,28,20504,,,
3.58E-05,10,20503,,,
3.36E-05,47,20502,,,
2.52E-05,51,20502,,,
2.92E-05,47,20502,,,
3.18E-05,33,20502,,,
3.13E-05,48,20505,,,
3.05E-05,12,20504,,,
3.03E-05,33,20503,,,
3.01E-05,11,20503,,,
2.48E-05,30,20521,,,
3.34E-05,39,20527,,,
3.17E-05,62,20529,,,
0.0001615,47,20530,,,
2.99E-05,49,20530,,,
2.57E-05,62,20541,,,
2.48E-05,55,20540,,,
2.47E-05,14,20539,,,
3.22E-05,47,20542,,,
2.98E-05,27,20547,,,
3.14E-05,25,20552,,,
0.0001168,41,20553,,,
2.90E-05,17,20553,,,
3.22E-05,41,20552,,,
4.60E-05,13,20555,,,
3.86E-05,27,20558,,,
3.24E-05,67,20559,,,
3.18E-05,62,20561,,,
3.11E-05,16,20561,,,
3.80E-05,66,20565,,,
3.97E-05,25,20564,,,
4.00E-05,66,20563,,,
3.08E-05,25,20568,,,
3.08E-05,24,20569,,,
0.0001021,65,20571,,,
4.20E-05,61,20570,,,
3.85E-05,67,20569,,,
3.25E-05,44,20572,,,
3.69E-05,20,20574,,,
3.81E-05,35,20580,,,
3.04E-05,69,20581,,,
3.11E-05,3,20585,,,
3.10E-05,59,20586,,,
3.11E-05,31,20585,,,
3.10E-05,38,20589,,,
3.35E-05,32,20589,,,
3.13E-05,40,20589,,,
3.15E-05,59,20597,,,
5.97E-05,34,20596,,,
3.25E-05,45,20595,,,
3.50E-05,18,20601,,,
3.85E-05,57,20604,,,
3.43E-05,28,20603,,,
3.99E-05,53,20603,,,
3.24E-05,3,20603,,,
3.20E-05,63,20603,,,
2.95E-05,62,20604,,,
3.28E-05,27,20604,,,
2.49E-05,65,20606,,,
2.42E-05,23,20605,,,
2.43E-05,29,20604,,,
2.45E-05,38,20604,,,
3.50E-05,54,20605,,,
3.11E-05,4,20606,,,
3.14E-05,58,20605,,,
3.11E-05,25,20604,,,
3.13E-05,68,20603,,,
3.54E-05,4,20615,,,
3.25E-05,25,20616,,,
2.94E-05,15,20616,,,
3.13E-05,41,20624,,,
2.90E-05,34,20627,,,
3.06E-05,46,20627,,,
2.91E-05,35,20626,,,
3.10E-05,33,20632,,,
3.28E-05,57,20635,,,
3.23E-05,49,20634,,,
3.33E-05,56,20633,,,
3.24E-05,12,20632,,,
3.17E-05,42,20636,,,
3.18E-05,33,20638,,,
3.13E-05,64,20639,,,
3.10E-05,54,20642,,,
3.12E-05,62,20642,,,
3.28E-05,35,20645,,,
3.24E-05,32,20645,,,
3.00E-05,38,20661,,,
2.90E-05,70,20660,,,
2.89E-05,15,20659,,,
3.22E-05,46,20661,,,
3.00E-05,39,20662,,,
4.30E-05,47,20664,,,
3.50E-05,64,20667,,,
9.50E-05,6,20666,,,
3.27E-05,7,20666,,,
3.06E-05,42,20671,,,
2.42E-05,25,20672,,,
3.29E-05,70,20673,,,
3.21E-05,16,20673,,,
2.45E-05,9,20678,,,
3.51E-05,43,20680,,,
2.49E-05,14,20680,,,
2.42E-05,50,20684,,,
2.45E-05,29,20683,,,
2.43E-05,34,20682,,,
2.41E-05,52,20681,,,
2.41E-05,51,20680,,,
2.46E-05,33,20681,,,
3.14E-05,13,20686,,,
3.09E-05,40,20685,,,
3.23E-05,52,20688,,,
2.47E-05,59,20697,,,
3.25E-05,50,20698,,,
0.0001524,22,20698,,,
3.24E-05,50,20699,,,
3.24E-05,25,20699,,,
3.26E-05,7,20698,,,
3.23E-05,59,20698,,,
3.18E-05,40,20710,,,
3.11E-05,25,20712,,,
3.15E-05,54,20712,,,
3.15E-05,64,20714,,,
3.27E-05,37,20721,,,
3.08E-05,42,20723,,,
3.19E-05,7,20724,,,
3.04E-05,12,20723,,,
3.11E-05,16,20722,,,
3.27E-05,44,20726,,,
3.74E-05,16,20726,,,
3.18E-05,57,20731,,,
0.0001583,67,20734,,,
3.00E-05,7,20733,,,
3.85E-05,38,20734,,,
3.23E-05,33,20735,,,
3.18E-05,47,20739,,,
2.49E-05,9,20750,,,
2.43E-05,25,20751,,,
3.12E-05,63,20753,,,
2.45E-05,61,20757,,,
0.0001078,32,20756,,,
3.30E-05,45,20755,,,
3.48E-05,21,20758,,,
3.10E-05,10,20769,,,
3.04E-05,50,20768,,,
3.24E-05,1,20767,,,
3.31E-05,45,20766,,,
3.14E-05,40,20770,,,
3.68E-05,53,20774,,,
3.42E-05,65,20773,,,
3.17E-05,27,20773,,,
3.18E-05,69,20780,,,
2.78E-05,14,20781,,,
2.88E-05,17,20781,,,
2.78E-05,3,20780,,,
2.79E-05,29,20780,,,
3.18E-05,34,20788,,,
2.82E-05,59,20795,,,
0.0001234,40,20798,,,
3.44E-05,60,20797,,,
3.10E-05,33,20798,,,
3.09E-05,17,20802,,,
3.46E-05,32,20803,,,
3.21E-05,1,20802,,,
3.19E-05,21,20802,,,
3.21E-05,43,20802,,,
3.25E-05,66,20803,,,
3.20E-05,17,20802,,,
3.17E-05,69,20802,,,
3.12E-05,37,20801,,,
9.51E-05,37,20806,,,
2.51E-05,9,20811,,,
2.46E-05,6,20811,,,
2.42E-05,39,20811,,,
2.43E-05,3,20812,,,
2.40E-05,6,20811,,,
2.43E-05,7,20812,,,
2.40E-05,58,20812,,,
3.77E-05,10,20822,,,
3.15E-05,48,20826,,,
2.50E-05,4,20829,,,
2.47E-05,69,20829,,,
2.44E-05,17,20828,,,
3.17E-05,7,20834,,,
2.95E-05,40,20833,,,
2.48E-05,54,20839,,,
2.44E-05,61,20840,,,
2.43E-05,67,20839,,,
2.41E-05,34,20839,,,
2.42E-05,44,20838,,,
3.39E-05,70,20838,,,
2.48E-05,70,20843,,,
2.80E-05,64,20843,,,
2.41E-05,22,20844,,,
2.45E-05,7,20847,,,
2.42E-05,24,20846,,,
2.47E-05,41,20845,,,
2.47E-05,25,20844,,,
2.43E-05,1,20844,,,
3.02E-05,15,20848,,,
2.94E-05,38,20847,,,
3.66E-05,18,20846,,,
3.50E-05,49,20845,,,
3.28E-05,2,20846,,,
3.23E-05,2,20846,,,
2.95E-05,31,20847,,,
3.19E-05,56,20853,,,
3.42E-05,38,20862,,,
3.91E-05,33,20862,,,
3.40E-05,46,20861,,,
3.13E-05,4,20860,,,
3.18E-05,49,20859,,,
3.16E-05,1,20858,,,
3.13E-05,61,20857,,,
3.41E-05,34,20858,,,
3.33E-05,35,20857,,,
2.46E-05,39,20857,,,
2.40E-05,36,20858,,,
2.49E-05,62,20861,,,
2.85E-05,24,20861,,,
2.44E-05,65,20861,,,
2.44E-05,36,20864,,,
2.44E-05,56,20863,,,
2.51E-05,15,20864,,,
2.45E-05,27,20866,,,
3.35E-05,62,20878,,,
3.34E-05,59,20879,,,
2.86E-05,33,20880,,,
3.45E-05,63,20882,,,
3.26E-05,29,20886,,,
3.10E-05,68,20886,,,
3.32E-05,13,20885,,,
2.93E-05,41,20885,,,
3.12E-05,25,20886,,,
3.11E-05,27,20886,,,
3.72E-05,41,20889,,,
3.29E-05,11,20889,,,
3.45E-05,69,20888,,,
3.48E-05,25,20888,,,
3.51E-05,9,20887,,,
3.22E-05,58,20889,,,
3.16E-05,25,20889,,,
3.10E-05,68,20889,,,
3.09E-05,65,20888,,,
3.15E-05,66,20887,,,
3.14E-05,65,20887,,,
3.10E-05,34,20887,,,
