cas operacie,vlozene cislo,priorita,velkost frontu,,,
0.0005157,58,3737,20260,,,
0.0004293,69,2088,20261,,,
0.000428,62,1299,20262,,,
0.0005581,49,6379,20263,,,
0.0005759,66,7965,20264,,,
0.0004318,69,733,20263,,,
0.0005212,25,7751,20263,,,
0.0005429,18,4202,20264,,,
0.0004297,59,443,20265,,,
0.0005333,36,6406,20266,,,
0.0005627,59,7615,20266,,,
0.0005432,52,3809,20266,,,
0.0005016,9,2670,20267,,,
0.0005844,56,8649,20268,,,
0.0008388,70,9541,20269,,,
0.0008191,66,7099,20270,,,
0.000534,51,8580,20271,,,
0.0005211,60,4712,20271,,,
0.0008639,18,8367,20272,,,
0.0005154,13,4357,20273,,,
0.0004303,42,1656,20274,,,
0.0005399,10,7770,20275,,,
0.0004303,33,1566,20276,,,
0.0005575,11,9749,20277,,,
0.0005708,50,4021,20278,,,
0.0005874,35,5632,20277,,,
0.0005461,53,7635,20278,,,
0.0005288,16,9128,20279,,,
0.0005379,44,7050,20280,,,
0.000585,53,9315,20280,,,
0.0009005,17,9865,20281,,,
0.0005657,53,5299,20282,,,
0.0006074,24,616,20283,,,
0.0007865,59,2690,20283,,,
0.000751,45,2095,20284,,,
0.0005546,55,1877,20285,,,
0.000409,30,6932,20286,,,
0.000402,40,1444,20287,,,
0.00033,67,973,20286,,,
0.0004381,23,1518,20287,,,
0.0004423,4,642,20288,,,
0.0006066,29,9666,20289,,,
0.0003953,55,5481,20289,,,
0.0004919,32,6422,20290,,,
0.0003968,60,3790,20290,,,
0.0004283,56,6255,20291,,,
0.0004861,53,572,20292,,,
0.000607,43,8217,20293,,,
0.0005734,46,7846,20294,,,
0.0008443,65,7848,20295,,,
0.0004858,42,8909,20296,,,
0.0003973,56,596,20297,,,
0.0003963,38,3060,20297,,,
0.000331,20,416,20298,,,
0.0005577,59,1859,20299,,,
0.0004185,21,4159,20297,,,
0.0005068,66,3817,20298,,,
0.0004074,31,8178,20299,,,
0.0003959,17,2755,20300,,,
0.0003817,18,2655,20299,,,
0.0004097,61,9426,20300,,,
0.0003295,42,1655,20300,,,
0.0004055,33,2034,20300,,,
0.0004282,11,8700,20301,,,
0.0004813,29,609,20300,,,
0.0004951,8,2366,20301,,,
0.0007313,40,8117,20302,,,
0.0005417,70,7494,20303,,,
0.0005166,36,1617,20301,,,
0.000715,70,5036,20302,,,
0.0007562,47,5513,20303,,,
0.000527,51,6796,20304,,,
0.0007532,26,1741,20305,,,
0.0005417,60,3352,20304,,,
0.0016334,64,1925,20304,,,
0.0005781,43,5994,20305,,,
0.0008388,59,5862,20306,,,
0.0008907,41,7996,20307,,,
0.0006991,47,5756,20307,,,
0.0006283,41,4020,20306,,,
0.0005255,36,5597,20306,,,
0.0005808,43,7913,20304,,,
0.0004897,37,5503,20305,,,
0.0005626,11,5854,20306,,,
0.0005338,26,7344,20307,,,
0.0007502,24,5274,20308,,,
0.0005276,33,7740,20309,,,
0.00051,36,2084,20310,,,
0.0004263,3,1605,20310,,,
0.0005557,28,5433,20311,,,
0.000423,35,4566,20312,,,
0.0004549,52,6386,20313,,,
0.0004149,30,2267,20314,,,
0.0004835,19,1275,20315,,,
0.0005216,43,5809,20316,,,
0.0005117,17,1356,20317,,,
0.0005163,32,3639,20318,,,
0.0005151,23,5972,20319,,,
0.0009417,44,8875,20320,,,
0.0005293,62,9095,20320,,,
0.0005432,46,5809,20321,,,
0.0005121,26,5412,20322,,,
0.0005206,12,4776,20322,,,
0.0004245,68,1224,20322,,,
0.000427,67,8978,20323,,,
0.0004275,40,9102,20324,,,
0.0004576,21,6577,20325,,,
